sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score
undersampling,select_univariate,no_norm,no_dim_reduction,nn,0.423923393857604,0.358412698412698,0.388425202451933
undersampling,select_univariate,no_norm,pca,nn,0.247974763764237,0.309365079365079,0.275288886729242
undersampling,select_univariate,no_norm,umap,nn,0.209460111889344,0.332539682539683,0.257025186460767
undersampling,select_univariate,min_max_norm,no_dim_reduction,nn,0.456632040796342,0.351269841269841,0.397080556562226
undersampling,select_univariate,min_max_norm,pca,nn,0.422911632958811,0.346666666666667,0.381012214517319
undersampling,select_univariate,min_max_norm,umap,nn,0.16965565393595,0.331746031746032,0.224501000151113
undersampling,select_univariate,robust_scaler,no_dim_reduction,nn,0.365219535405107,0.364761904761905,0.364990576637526
undersampling,select_univariate,robust_scaler,pca,nn,0.28426798378926,0.33968253968254,0.309514511332356
undersampling,select_univariate,robust_scaler,umap,nn,0.359874315943238,0.347619047619048,0.353640538310806
undersampling,select_univariate,standard_scaler,no_dim_reduction,nn,0.470976379402632,0.386190476190476,0.42439016639325
undersampling,select_univariate,standard_scaler,pca,nn,0.448702110870565,0.382222222222222,0.412802733299177
undersampling,select_univariate,standard_scaler,umap,nn,0.159445134575569,0.336507936507936,0.216369476672606
undersampling,select_univariate,log2_transform,no_dim_reduction,nn,0.431471244164368,0.409206349206349,0.42004395978748
undersampling,select_univariate,log2_transform,pca,nn,0.414522273983481,0.405396825396825,0.409908767965486
undersampling,select_univariate,log2_transform,umap,nn,0.439880505358447,0.410793650793651,0.424839798887328
undersampling,select_l1,no_norm,no_dim_reduction,nn,0.296097998619738,0.344444444444444,0.31844669073855
undersampling,select_l1,no_norm,pca,nn,0.376975659543166,0.36047619047619,0.368541348566155
undersampling,select_l1,no_norm,umap,nn,0.142285714285714,0.333333333333333,0.199439327192631
undersampling,select_l1,min_max_norm,no_dim_reduction,nn,0.531723173369458,0.516349206349206,0.523923431014374
undersampling,select_l1,min_max_norm,pca,nn,0.449175867232133,0.44,0.444540588348069
undersampling,select_l1,min_max_norm,umap,nn,0.142285714285714,0.333333333333333,0.199439327192631
undersampling,select_l1,robust_scaler,no_dim_reduction,nn,0.489321083715047,0.471269841269841,0.480125854730524
undersampling,select_l1,robust_scaler,pca,nn,0.299971209384715,0.33968253968254,0.318594184381868
undersampling,select_l1,robust_scaler,umap,nn,0.373038396906394,0.374285714285714,0.373661014681796
undersampling,select_l1,standard_scaler,no_dim_reduction,nn,0.576606544684483,0.563333333333333,0.569892663819677
undersampling,select_l1,standard_scaler,pca,nn,0.462796750732106,0.458095238095238,0.460433992886162
undersampling,select_l1,standard_scaler,umap,nn,0.142285714285714,0.333333333333333,0.199439327192631
undersampling,select_l1,log2_transform,no_dim_reduction,nn,0.431002761723137,0.421587301587302,0.426243042491033
undersampling,select_l1,log2_transform,pca,nn,0.435713924906649,0.435873015873016,0.435793455870377
undersampling,select_l1,log2_transform,umap,nn,0.187030558464431,0.333333333333333,0.239615086560899
no_sampling,var_threshold,no_norm,no_dim_reduction,tree,0.278504130423357,0.321006404496971,0.298248668996745
no_sampling,var_threshold,no_norm,pca,tree,0.275438919236194,0.335646209136775,0.302576596280488
no_sampling,var_threshold,no_norm,umap,tree,0.273865383771678,0.334718363397609,0.301249494333983
no_sampling,var_threshold,min_max_norm,no_dim_reduction,tree,0.278504130423357,0.321006404496971,0.298248668996745
no_sampling,var_threshold,min_max_norm,pca,tree,0.285705534097351,0.336402538761029,0.308988329204029
no_sampling,var_threshold,min_max_norm,umap,tree,0.267635137691432,0.331214435459718,0.296049709355901
no_sampling,var_threshold,robust_scaler,no_dim_reduction,tree,0.278504130423357,0.321006404496971,0.298248668996745
no_sampling,var_threshold,robust_scaler,pca,tree,0.241661029270495,0.324888842813371,0.277161732872679
no_sampling,var_threshold,robust_scaler,umap,tree,0.243359574893305,0.331385490819453,0.280631664307096
no_sampling,var_threshold,standard_scaler,no_dim_reduction,tree,0.278504130423357,0.321006404496971,0.298248668996745
no_sampling,var_threshold,standard_scaler,pca,tree,0.329094666356981,0.340633999124565,0.334764922182749
no_sampling,var_threshold,standard_scaler,umap,tree,0.214146199161413,0.325688828990716,0.258393847010752
no_sampling,var_threshold,log2_transform,no_dim_reduction,tree,0.278504130423357,0.321006404496971,0.298248668996745
